FECHA;MOTIVO;DIVISION;PROVEEDOR;CANTIDAD;COSTO POR UNIDAD;COSTO TOTAL;SEMANA;MES;AÑO
10/4/2026;ENTRADA;ACCESORIO;YIWU LYFHON INTL TRADE CO LTD;2222;L10.00;L22,220.00;SEM-15;ABRIL;2026
10/4/2026;ENTRADA;VENTA MAYOREO;YIWU LYFHON INTL TRADE CO LTD;72;L4.80;L345.34;SEM-15;ABRIL;2026
11/4/2026;SALIDA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;1;L150.58;L150.58;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;1;L160.29;L160.29;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;600;L0.61;L366.62;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;32000;L0.86;L27,545.60;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;262;L23.31;L6,106.91;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;2500;L9.99;L24,982.80;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;1400;L7.54;L10,558.45;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;504;L28.78;L14,504.59;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;150;L127.95;L19,192.73;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;1500;L58.70;L88,048.13;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;500;L121.15;L60,576.44;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;17;L300.99;L5,116.89;SEM-15;ABRIL;2026
11/4/2026;ENTRADA;SUMINISTRO;YIWU LYFHON INTL TRADE CO LTD;41;L1,213.28;L49,744.60;SEM-15;ABRIL;2026
13/4/2026;SALIDA;CUIDADO PERSONAL;NEVADA OUTLET,S.A.;12;L28.02;L336.19;SEM-16;ABRIL;2026
13/4/2026;SALIDA;CUIDADO PERSONAL;NEVADA OUTLET,S.A.;24;L28.01;L672.30;SEM-16;ABRIL;2026
13/4/2026;ENTRADA;CUIDADO PERSONAL;NEVADA OUTLET,S.A.;36;L28.01;L1,008.38;SEM-16;ABRIL;2026
13/4/2026;SALIDA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;300;L10.87;L3,259.76;SEM-16;ABRIL;2026
13/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;300;L12.94;L3,882.79;SEM-16;ABRIL;2026
13/4/2026;ENTRADA;VENTAS MAYOREO;0;10;L42.00;L420.00;SEM-16;ABRIL;2026
13/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;96;L18.11;L1,738.96;SEM-16;ABRIL;2026
13/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;100;L31.05;L3,105.25;SEM-16;ABRIL;2026
17/4/2026;ENTRADA;CALZADO;GROUP LATAM CO.,LIMITED;16;L146.54;L2,344.66;SEM-16;ABRIL;2026
17/4/2026;ENTRADA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;78;L46.80;L3,650.74;SEM-16;ABRIL;2026
17/4/2026;ENTRADA;ROPA;GROUP LATAM CO.,LIMITED;2;L117.51;L235.03;SEM-16;ABRIL;2026
17/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;30;L6.39;L191.78;SEM-16;ABRIL;2026
18/4/2026;SALIDA;CALZADO;GROUP LATAM CO.,LIMITED;40;L127.41;L5,096.34;SEM-16;ABRIL;2026
18/4/2026;SALIDA;CALZADO;GROUP LATAM CO.,LIMITED;40;L127.41;L5,096.34;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CALZADO;GROUP LATAM CO.,LIMITED;24;L141.83;L3,403.88;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CALZADO;GROUP LATAM CO.,LIMITED;24;L127.42;L3,058.14;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CALZADO;GROUP LATAM CO.,LIMITED;24;L136.79;L3,282.89;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CALZADO;GROUP LATAM CO.,LIMITED;8;L146.54;L1,172.33;SEM-16;ABRIL;2026
18/4/2026;SALIDA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;160;L13.48;L2,156.24;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;160;L24.54;L3,925.60;SEM-16;ABRIL;2026
18/4/2026;SALIA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;216;L65.91;L14,235.72;SEM-16;ABRIL;2026
18/4/2026;SALIA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;6;L329.52;L1,977.09;SEM-16;ABRIL;2026
18/4/2026;SALIA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;12;L147.40;L1,768.82;SEM-16;ABRIL;2026
18/4/2026;SALIA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;29;L34.68;L1,005.68;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;216;L69.36;L14,980.92;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;18;L46.80;L842.48;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CUIDADO PERSONAL;WALID MAGNATE, S.A.;29;L34.68;L1,005.68;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;GROUP LATAM CO.,LIMITED;120;L151.92;L18,230.56;SEM-16;ABRIL;2026
18/4/2026;SALIDA;CALZADO;YIWU LYFHON INTL TRADE CO LTD;30;L55.59;L1,667.60;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;ROPA;GROUP LATAM CO.,LIMITED;120;L151.92;L18,230.56;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;CALZADO;YIWU LYFHON INTL TRADE CO LTD;30;L53.05;L1,591.51;SEM-16;ABRIL;2026
18/4/2026;SALIDA;ROPA;GROUP LATAM CO.,LIMITED;120;L282.19;L33,862.57;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;ROPA;GROUP LATAM CO.,LIMITED;120;L277.25;L33,270.47;SEM-16;ABRIL;2026
18/4/2026;SALIDA;INTERIOR;COLVEN ZONA LIBRE S.A ;1195;L13.42;L16,041.32;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;INTERIOR;COLVEN ZONA LIBRE S.A ;1195;L13.42;L16,041.32;SEM-16;ABRIL;2026
18/4/2026;SALIDA;HOGAR;NEMO TRADERS SA;6;L285.71;L1,714.25;SEM-16;ABRIL;2026
18/4/2026;ENTRADA;HOGAR;NEMO TRADERS SA;6;L267.05;L1,602.27;SEM-16;ABRIL;2026
