SEMANA RECIBIDO;FECHA RECIBIDO;APLICADO;ORIGEN;MOTIVO;TIPO DE ERROR; UNIDAD ERROR;BULTOS;UNIDADES;COSTO TOTAL
SEM-18;46139;APLICADO;SANTA CRUZ AEC;UNIDADES;;0;8;372;49114.07
SEM-18;46139;APLICADO;SONAGUERA-AEC;UNIDADES;;0;1;24;2964.38
SEM-18;46140;SIN APLICAR;JESUS DE OTORO-AEC;UNIDADES;;0;1;30;3864.29
SEM-18;46140;SIN APLICAR;MEGATIENDA-AEC;UNIDADES;;0;1;1;56.37
SEM-18;46140;SIN APLICAR;PEÑA BLANCA AEC;UNIDADES;;0;1;43;5380.79
SEM-18;46140;APLICADO;EL PARAISO AEC;UNIDADES;;0;1;41;5162.9
SEM-18;46140;APLICADO;JESUS DE OTORO-AEC;DAÑADO;;0;1;3;317.46
SEM-18;46140;APLICADO;JESUS DE OTORO-AEC;UNIDADES;;0;1;70;9909.88
SEM-18;46140;APLICADO;PEÑA BLANCA AEC;UNIDADES;;0;1;14;2263.23
SEM-18;46140;APLICADO;SANTA BARBARA-AEC;DAÑADO;;0;9;632;27344.9
SEM-18;46140;APLICADO;SIGUATEPEQUE-AEC;UNIDADES;;0;2;58;7583.28
SEM-18;46141;SIN APLICAR;MAYOREO SPS-AEC;DAÑADO;;0;1;90;4029.26
SEM-18;46141;APLICADO;MAYOREO SPS-AEC;UNIDADES;;0;2;168;21582.5
SEM-18;46142;SIN APLICAR;PUERTO CORTES-AEC;DAÑADO;;0;1;11;735.41
SEM-18;46142;SIN APLICAR;PUERTO CORTES-AEC;UNIDADES;;0;1;55;6855.57
SEM-18;46142;SIN APLICAR;SPS TERMINAL-AEC;UNIDADES;;0;2;7;1033.71
SEM-18;46142;APLICADO;PUERTO CORTES-AEC;UNIDADES;;0;1;15;5208.91
SEM-18;46142;APLICADO;SPS TERMINAL-AEC;UNIDADES;;0;1;61;7808.28
