SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
14;1/4/2026;SEGUNDA;BODEGA DANILOS ;RIO LINDO, LA  VITRINA;DS ROPA;2;80;;
14;1/4/2026;SEGUNDA;BODEGA DANILOS ;SAN MARCOS OCOTEPEQUE, LA VITR;DS ROPA;1;15;;
14;1/4/2026;SEGUNDA;BODEGA DANILOS ;SANTA RITA, COPAN -DS;DS ROPA;2;76;;
14;1/4/2026;SEGUNDA;BODEGA DANILOS ;SONAGUERA-DS;DS HOGAR;2;31;;
14;1/4/2026;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS HOGAR;1;62;;
14;1/4/2026;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;3;224;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS HOGAR;1;34;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS ROPA;3;226;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;CATACAMAS-DS;DS ROPA;2;105;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS HOGAR;1;13;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS ROPA;3;288;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS HOGAR;2;34;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS ROPA;3;259;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS ROPA;4;202;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA LIBERTAD-DS;DS ROPA;1;66;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA INTIBUCA;DS HOGAR;1;15;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA INTIBUCA;DS ROPA;4;419;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA, MEGATIENDA;DS HOGAR;2;31;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA, MEGATIENDA;DS ROPA;2;70;;
14;2/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA, TOCOA;DS HOGAR;2;40;;
