SEMANA,FECHA,CODIGO,DESCRIPCION,UNIDADES,PROVEEDOR,COSTO IMP,FARDOS,PESO Lbs.,MES,AÑO
SEM 18,4/26/2026,D004515,USA LADIES SEXY SHORTS(FARDO),592,FORTUNE RAGS,"L2,987.47",2,100,ABRIL,2026
SEM 17,4/25/2026,D064450,USA BLUMMER (LADIES UNDERWEAR)(FARDO),491,FORTUNE RAGS,"L6,638.38",1,100,ABRIL,2026
SEM 17,4/25/2026,D004516,USA LENCERIA #1(FARDO),932,FORTUNE RAGS,"L6,638.25",2,100,ABRIL,2026
SEM 17,4/23/2026,D004518,USA MIXTO PREMIUM JUVENIL(FARDO),333,FORTUNE RAGS,"L8,533.69",4,100,ABRIL,2026
SEM 17,4/23/2026,D004504,USA CAMISA DE NIÑO(FARDO) ,329,FORTUNE RAGS,"L6,638.38",1,100,ABRIL,2026
SEM 17,4/22/2026,D050569,USA SKINNY JEANS D/MUJER(FARDO),928,FORTUNE RAGS,"L6,639.21",15,100,ABRIL,2026
SEM 17,4/21/2026,D106816,USA CHILDREN 8/20 TG (FARDO),708,CLASSIC VINTAGE CO INC,"L4,861.05",6,100,ABRIL,2026
SEM 15,4/8/2026,D004535,USA SKINNY JEANS DE NIÑA # 1(FARDO),330,FORTUNE RAGS,"L5,311.54",2,100,ABRIL,2026
SEM 15,4/8/2026,D004537,USA SKINNY JEANS NIÑO # 1(FARDO),495,FORTUNE RAGS,"L5,311.62",3,100,ABRIL,2026
SEM 15,4/8/2026,D004526,USA PLAYERA DE NIÑO(FARDO),2400,FORTUNE RAGS,"L6,639.26",5,100,ABRIL,2026
SEM 15,4/7/2026,D004522,USA NIÑO PREMIUM(FARDO) ,22540,FORTUNE RAGS,"L9,128.99",10,100,ABRIL,2026
SEM 15,4/6/2026,D001622,USA ROPA NIÑO H(FARDO),2200,JULIES TRADING,"L3,574.43",4,100,ABRIL,2026
SEM 15,4/10/2026,D004508,USA EDREDON (FARDO) ,345,FORTUNE RAGS,"L3,651.56",15,100,ABRIL,2026
SEM 15,4/10/2026,D022700,USA L-JEANS JUV(FARDO),480,JULIES TRADING,"L2,680.88",10,100,ABRIL,2026
SEM 15,4/9/2026,D004520,USA NIÑO AFRICA #1(0-6)(FARDO),480,FORTUNE RAGS,"L5,145.27",5,100,ABRIL,2026
SEM 15,4/9/2026,D050569,USA SKINNY JEANS D/MUJER(FARDO),802,FORTUNE RAGS,"L6,639.21",9,100,ABRIL,2026
SEM 15,4/8/2026,D004520,USA NIÑO AFRICA #1(0-6)(FARDO),3148,FORTUNE RAGS,"L5,145.27",5,100,ABRIL,2026
SEM 15,4/7/2026,D004520,USA NIÑO AFRICA #1(0-6)(FARDO),3148,FORTUNE RAGS,"L5,145.27",5,100,ABRIL,2026
SEM 15,4/7/2026,D004520,USA NIÑO AFRICA #1(0-6)(FARDO),3148,FORTUNE RAGS,"L5,145.27",5,100,ABRIL,2026
SEM 17,4/19/2026,D050569,USA SKINNY JEANS D/MUJER(FARDO),683,FORTUNE RAGS,"L6,639.21",5,100,ABRIL,2026
SEM 16,4/18/2026,D050569,USA SKINNY JEANS D/MUJER(FARDO),683,FORTUNE RAGS,"L6,639.21",10,100,ABRIL,2026
SEM 16,4/16/2026,D004520,USA NIÑO AFRICA #1(0-6)(FARDO),2656,FORTUNE RAGS,"L5,145.27",5,100,ABRIL,2026
SEM 16,4/14/2026,D004527,USA SABANA PREMIUM(FARDO),750,FORTUNE RAGS,"L5,311.29",4,100,ABRIL,2026
SEM 16,4/12/2026,D004503,USA CAMISA #1 M/C + M/L(FARDO),1252,FORTUNE RAGS,"L6,639.48",4,100,ABRIL,2026
SEM 16,4/12/2026,D001624,USA PLAYERA HOMBRE (FARDO),1149,JULIES TRADING,"L3,931.84",5,100,ABRIL,2026
SEM 17,4/25/2026,D106815,USA MIX ADULT 80/20 TG (FARDO),1258,CLASSIC VINTAGE CO INC,"L4,861.07",5,100,ABRIL,2026
SEM 17,4/24/2026,D106816,USA CHILDREN 8/20 TG (FARDO),2967,CLASSIC VINTAGE CO INC,"L4,861.05",6,100,ABRIL,2026
SEM 17,4/23/2026,D106816,USA CHILDREN 8/20 TG (FARDO),2967,CLASSIC VINTAGE CO INC,"L4,861.05",6,100,ABRIL,2026
SEM 17,4/21/2026,D004522,USA NIÑO PREMIUM(FARDO) ,3386,FORTUNE RAGS,"L9,128.99",7,100,ABRIL,2026
